id,protocol,service,description,severity
1,tcp/udp,tcpmux,TCP Port Service Multiplexer,3
2,tcp/udp,compressnet,Management Utility,3
3,tcp/udp,compressnet,Compression Process,3
4,tcp/udp,#,Unassigned,3
5,tcp/udp,rje,Remote Job Entry,3
6,tcp/udp,#,Unassigned,3
7,tcp/udp,echo,Echo,3
8,tcp/udp,#,Unassigned,3
9,tcp/udp,discard,Discard,3
10,tcp/udp,#,Unassigned,3
11,tcp/udp,systat,Active Users,3
12,tcp/udp,#,Unassigned,3
13,tcp/udp,daytime,Daytime (RFC 867),3
14,tcp/udp,#,Unassigned,3
15,tcp,#,Unassigned [was netstat],3
15,udp,#,Unassigned,3
16,tcp/udp,#,Unassigned,3
17,tcp/udp,qotd,Quote of the Day,3
18,tcp/udp,msp,Message Send Protocol,3
19,tcp/udp,chargen,Character Generator,3
20,tcp/udp,ftp-data,File Transfer [Default Data],5
21,tcp/udp,ftp,File Transfer [Control],5
22,tcp/udp,ssh,SSH Remote Login Protocol,5
23,tcp/udp,telnet,Telnet,5
24,tcp/udp,#,any private mail system,3
25,tcp/udp,smtp,Simple Mail Transfer,3
26,tcp/udp,#,Unassigned,3
27,tcp/udp,nsw-fe,NSW User System FE,3
28,tcp/udp,#,Unassigned,3
29,tcp/udp,msg-icp,MSG ICP,3
30,tcp/udp,#,Unassigned,3
31,tcp/udp,msg-auth,MSG Authentication,3
32,tcp/udp,#,Unassigned,3
33,tcp/udp,dsp,Display Support Protocol,3
34,tcp/udp,#,Unassigned,3
35,tcp/udp,#,any private printer server,3
36,tcp/udp,#,Unassigned,3
37,tcp/udp,time,Time,3
38,tcp/udp,rap,Route Access Protocol,3
39,tcp/udp,rlp,Resource Location Protocol,3
40,tcp/udp,#,Unassigned,3
41,tcp/udp,graphics,Graphics,3
42,udp,name,Host Name Server,3
42,tcp/udp,nameserver,Host Name Server,3
43,tcp/udp,nicname,Who Is,3
44,tcp/udp,mpm-flags,MPM FLAGS Protocol,3
45,tcp/udp,mpm,Message Processing Module [recv],3
46,tcp/udp,mpm-snd,MPM [default send],3
47,tcp/udp,ni-ftp,NI FTP,3
48,tcp/udp,auditd,Digital Audit Daemon,3
49,tcp/udp,tacacs,Login Host Protocol (TACACS),3
50,tcp/udp,re-mail-ck,Remote Mail Checking Protocol,3
51,tcp/udp,la-maint,IMP Logical Address Maintenance,3
52,tcp/udp,xns-time,XNS Time Protocol,3
53,tcp/udp,domain,Domain Name Server,3
54,tcp/udp,xns-ch,XNS Clearinghouse,3
55,tcp/udp,isi-gl,ISI Graphics Language,3
56,tcp/udp,xns-auth,XNS Authentication,3
57,tcp/udp,#,any private terminal access,3
58,tcp/udp,xns-mail,XNS Mail,3
59,tcp/udp,#,any private file service,3
60,tcp/udp,#,Unassigned,3
61,tcp/udp,ni-mail,NI MAIL,3
62,tcp/udp,acas,ACA Services,3
63,tcp/udp,whois++,whois++,3
64,tcp/udp,covia,Communications Integrator (CI),3
65,tcp/udp,tacacs-ds,TACACS-Database Service,3
66,tcp/udp,sql*net,Oracle SQL*NET,3
67,tcp/udp,bootps,Bootstrap Protocol Server,5
68,tcp/udp,bootpc,Bootstrap Protocol Client,3
69,tcp/udp,tftp,Trivial File Transfer,3
70,tcp/udp,gopher,Gopher,5
71,tcp/udp,netrjs-1,Remote Job Service,3
72,tcp/udp,netrjs-2,Remote Job Service,3
73,tcp/udp,netrjs-3,Remote Job Service,3
74,tcp/udp,netrjs-4,Remote Job Service,3
75,tcp/udp,#,any private dial out service,3
76,tcp/udp,deos,Distributed External Object Store,3
77,tcp/udp,#,any private RJE service,3
78,tcp/udp,vettcp,vettcp,3
79,tcp/udp,finger,Finger,5
80,tcp/udp,http,World Wide Web HTTP,1
81,tcp/udp,hosts2-ns,HOSTS2 Name Server,3
82,tcp/udp,xfer,XFER Utility,3
83,tcp/udp,mit-ml-dev,MIT ML Device,3
84,tcp/udp,ctf,Common Trace Facility,3
85,tcp/udp,mit-ml-dev,MIT ML Device,3
86,tcp/udp,mfcobol,Micro Focus Cobol,3
87,tcp/udp,#,any private terminal link,3
88,tcp/udp,kerberos,Kerberos,3
89,tcp/udp,su-mit-tg,SU/MIT Telnet Gateway,3
90,tcp/udp,dnsix,DNSIX Securit Attribute Token Map,3
91,tcp/udp,mit-dov,MIT Dover Spooler,3
92,tcp/udp,npp,Network Printing Protocol,3
93,tcp/udp,dcp,Device Control Protocol,3
94,tcp/udp,objcall,Tivoli Object Dispatcher,3
95,tcp/udp,supdup,SUPDUP,3
96,tcp/udp,dixie,DIXIE Protocol Specification,3
97,tcp/udp,swift-rvf,Swift Remote Virtural File Protocol,3
98,tcp/udp,tacnews,TAC News,3
99,tcp/udp,metagram,Metagram Relay,3
100,tcp,newacct,[unauthorized use],3
101,tcp/udp,hostname,NIC Host Name Server,3
102,tcp/udp,iso-tsap,ISO-TSAP Class 0,3
103,tcp/udp,gppitnp,Genesis Point-to-Point Trans Net,3
104,tcp/udp,acr-nema,ACR-NEMA Digital Imag. & Comm. 300,3
105,udp,cso,CCSO name server protocol,3
105,tcp/udp,csnet-ns,Mailbox Name Nameserver,3
106,tcp/udp,3com-tsmux,3COM-TSMUX,3
107,tcp/udp,rtelnet,Remote Telnet Service,3
108,tcp/udp,snagas,SNA Gateway Access Server,3
109,tcp/udp,pop2,Post Office Protocol – Version 2,3
110,tcp/udp,pop3,Post Office Protocol – Version 3,3
111,tcp/udp,sunrpc,SUN Remote Procedure Call,5
112,tcp/udp,mcidas,McIDAS Data Transmission Protocol,3
113,tcp,ident,,3
113,tcp/udp,auth,Authentication Service,3
114,tcp/udp,audionews,Audio News Multicast,3
115,tcp/udp,sftp,Simple File Transfer Protocol,3
116,tcp/udp,ansanotify,ANSA REX Notify,3
117,tcp/udp,uucp-path,UUCP Path Service,3
118,tcp/udp,sqlserv,SQL Services,3
119,tcp/udp,nntp,Network News Transfer Protocol,3
120,tcp/udp,cfdptkt,CFDPTKT,3
121,tcp/udp,erpc,Encore Expedited Remote Pro.Call,3
122,tcp/udp,smakynet,SMAKYNET,3
123,tcp/udp,ntp,Network Time Protocol,3
124,tcp/udp,ansatrader,ANSA REX Trader,3
125,tcp/udp,locus-map,Locus PC-Interface Net Map Ser,3
126,tcp/udp,unitary,Unisys Unitary Login,3
127,tcp/udp,locus-con,Locus PC-Interface Conn Server,3
128,tcp/udp,gss-xlicen,GSS X License Verification,3
129,tcp/udp,pwdgen,Password Generator Protocol,3
130,tcp/udp,cisco-fna,cisco FNATIVE,3
131,tcp/udp,cisco-tna,cisco TNATIVE,3
132,tcp/udp,cisco-sys,cisco SYSMAINT,3
133,tcp/udp,statsrv,Statistics Service,3
134,tcp/udp,ingres-net,INGRES-NET Service,3
135,tcp/udp,epmap,DCE endpoint resolution,3
136,tcp/udp,profile,PROFILE Naming System,3
137,tcp/udp,netbios-ns,NETBIOS Name Service,5
138,tcp/udp,netbios-dgm,NETBIOS Datagram Service,5
139,tcp/udp,netbios-ssn,NETBIOS Session Service,5
140,tcp/udp,emfis-data,EMFIS Data Service,3
141,tcp/udp,emfis-cntl,EMFIS Control Service,3
142,tcp/udp,bl-idm,Britton-Lee IDM,3
143,tcp/udp,imap,Internet Message Access Protocol,3
144,tcp/udp,uma,Universal Management Architecture,3
145,tcp/udp,uaac,UAAC Protocol,3
146,tcp/udp,iso-tp0,ISO-IP0,3
147,tcp/udp,iso-ip,ISO-IP,3
148,tcp/udp,jargon,Jargon,3
149,tcp/udp,aed-512,AED 512 Emulation Service,3
150,tcp/udp,sql-net,SQL-NET,3
151,tcp/udp,hems,HEMS,3
152,tcp/udp,bftp,Background File Transfer Program,3
153,tcp/udp,sgmp,SGMP,3
154,tcp/udp,netsc-prod,NETSC,3
155,tcp/udp,netsc-dev,NETSC,3
156,tcp/udp,sqlsrv,SQL Service,3
157,tcp/udp,knet-cmp,KNET/VM Command/Message Protocol,3
158,tcp/udp,pcmail-srv,PCMail Server,3
159,tcp/udp,nss-routing,NSS-Routing,3
160,tcp/udp,sgmp-traps,SGMP-TRAPS,3
161,tcp/udp,snmp,SNMP,3
162,tcp/udp,snmptrap,SNMPTRAP,3
163,tcp/udp,cmip-man,CMIP/TCP Manager,3
164,tcp,cmip-agent,CMIP/TCP Agent,3
164,udp,smip-agent,CMIP/TCP Agent,3
165,tcp/udp,xns-courier,Xerox,3
166,tcp/udp,s-net,Sirius Systems,3
167,tcp/udp,namp,NAMP,3
168,tcp/udp,rsvd,RSVD,3
169,tcp/udp,send,SEND,3
170,tcp/udp,print-srv,Network PostScript,3
171,tcp/udp,multiplex,Network Innovations Multiplex,3
172,tcp/udp,cl/1,Network Innovations CL/1,3
173,tcp/udp,xyplex-mux,Xyplex,3
174,tcp/udp,mailq,MAILQ,3
175,tcp/udp,vmnet,VMNET,3
176,tcp/udp,genrad-mux,GENRAD-MUX,3
177,tcp/udp,xdmcp,X Display Manager Control Protocol,3
178,tcp/udp,nextstep,NextStep Window Server,3
179,tcp/udp,bgp,Border Gateway Protocol,3
180,tcp/udp,ris,Intergraph,3
181,tcp/udp,unify,Unify,3
182,tcp/udp,audit,Unisys Audit SITP,3
183,tcp/udp,ocbinder,OCBinder,3
184,tcp/udp,ocserver,OCServer,3
185,tcp/udp,remote-kis,Remote-KIS,3
186,tcp/udp,kis,KIS Protocol,3
187,tcp/udp,aci,Application Communication Interface,3
188,tcp/udp,mumps,Plus Five’s MUMPS,3
189,tcp/udp,qft,Queued File Transport,3
190,tcp/udp,gacp,Gateway Access Control Protocol,3
191,tcp/udp,prospero,Prospero Directory Service,3
192,tcp/udp,osu-nms,OSU Network Monitoring System,3
193,tcp/udp,srmp,Spider Remote Monitoring Protocol,3
194,tcp/udp,irc,Internet Relay Chat Protocol,3
195,tcp/udp,dn6-nlm-aud,DNSIX Network Level Module Audit,3
196,tcp/udp,dn6-smm-red,DNSIX Session Mgt Module Audit Redir,3
197,tcp/udp,dls,Directory Location Service,3
198,tcp/udp,dls-mon,Directory Location Service Monitor,3
199,tcp/udp,smux,SMUX,3
201,tcp/udp,at-rtmp,AppleTalk Routing Maintenance,3
202,tcp/udp,at-nbp,AppleTalk Name Binding,3
203,tcp/udp,at-3,AppleTalk Unused,3
204,tcp/udp,at-echo,AppleTalk Echo,3
205,tcp/udp,at-5,AppleTalk Unused,3
206,tcp/udp,at-zis,AppleTalk Zone Information,3
207,tcp/udp,at-7,AppleTalk Unused,3
208,tcp/udp,at-8,AppleTalk Unused,3
209,tcp/udp,qmtp,The Quick Mail Transfer Protocol,3
210,tcp/udp,z39.50,ANSI Z39.50,3
211,tcp/udp,914c/g,Texas Instruments 914C/G Terminal,3
212,tcp/udp,anet,ATEXSSTR,3
213,tcp/udp,ipx,IPX,3
214,tcp/udp,vmpwscs,VM PWSCS,3
215,tcp/udp,softpc,Insignia Solutions,3
216,tcp/udp,CAIlic,Computer Associates Int’l License Server,3
217,tcp/udp,dbase,dBASE Unix,3
218,tcp/udp,mpp,Netix Message Posting Protocol,3
219,tcp/udp,uarps,Unisys ARPs,3
220,tcp/udp,imap3,Interactive Mail Access Protocol v3,3
221,tcp/udp,fln-spx,Berkeley rlogind with SPX auth,3
222,tcp/udp,rsh-spx,Berkeley rshd with SPX auth,3
223,tcp/udp,cdc,Certificate Distribution Center,3
